"X_whale_long","X_whale_lat"
419490.423799991,6516722.67499993
419490.423799991,6516722.67499993
419490.423799991,6516722.67499993
419490.423799991,6516722.67499993
419490.423799991,6516722.67499993
419490.423799991,6516722.67499993
419490.423799991,6516722.67499993
419490.423799991,6516722.67499993
419490.423799991,6516722.67499993
419490.423799991,6516722.67499993
419490.423799991,6516722.67499993
419490.423799991,6516722.67499993
419490.423799991,6516722.67499993
419490.423799991,6516722.67499993
419490.423799991,6516722.67499993
419490.423799991,6516722.67499993
419490.423799991,6516722.67499993
419490.423799991,6516722.67499993
419490.423799991,6516722.67499993
419490.423799991,6516722.67499993
419490.423799991,6516722.67499993
419490.423799991,6516722.67499993
419490.423799991,6516722.67499993
419490.423799991,6516722.67499993
419490.423799991,6516722.67499993
419490.423799991,6516722.67499993
419490.423799991,6516722.67499993
419490.423799991,6516722.67499993
419490.423799991,6516722.67499993
419490.423799991,6516722.67499993
419490.423799991,6516722.67499993
419490.423799991,6516722.67499993
419490.423799991,6516722.67499993
419490.423799991,6516722.67499993
419490.423799991,6516722.67499993
419490.423799991,6516722.67499993
419490.423799991,6516722.67499993
419490.423799991,6516722.67499993
419490.423799991,6516722.67499993
419490.423799991,6516722.67499993
419490.423799991,6516722.67499993
419490.423799991,6516722.67499993
419490.423799991,6516722.67499993
419490.423799991,6516722.67499993
419490.423799991,6516722.67499993
419490.423799991,6516722.67499993
419490.423799991,6516722.67499993
419490.423799991,6516722.67499993
419490.423799991,6516722.67499993
419490.423799991,6516722.67499993
419490.423799991,6516722.67499993
419490.423799991,6516722.67499993
